Taxa	the.seed.number.1	the.seed.number.2	the.seed.number.3	the.seed.number.4	the.seed.number.5	the.seed.number.6	the.seed.number.7	the.seed.number.8	the.seed.number.9	the.seed.number.10	the.seed.number.11	the.seed.number.12	the.seed.number.13	the.seed.number.14	the.seed.number.15	the.seed.number.16	the.seed.number.17	the.seed.number.18	the.seed.number.19	the.seed.number.20	the.seed.number.21	the.seed.number.22	the.seed.number.23	the.seed.number.24	the.seed.number.25	the.seed.number.26	the.seed.number.27	the.seed.number.28	the.seed.number.29	the.seed.number.30	the.seed.number.31	the.seed.number.32	the.seed.number.33	the.seed.number.34	the.seed.number.35	the.seed.number.36	the.seed.number.37	the.seed.number.38	the.seed.number.39	the.seed.number.40	the.seed.number.41	the.seed.number.42	the.seed.number.43	the.seed.number.44	the.seed.number.45	the.seed.number.46	the.seed.number.47	the.seed.number.48	the.seed.number.49	the.seed.number.50	the.seed.number.51	the.seed.number.52	the.seed.number.53	the.seed.number.54	the.seed.number.55	the.seed.number.56	the.seed.number.57	the.seed.number.58	the.seed.number.59	the.seed.number.60	the.seed.number.61	the.seed.number.62	the.seed.number.63	the.seed.number.64	the.seed.number.65	the.seed.number.66	the.seed.number.67	the.seed.number.68	the.seed.number.69	the.seed.number.70	the.seed.number.71	the.seed.number.72	the.seed.number.73	the.seed.number.74	the.seed.number.75	the.seed.number.76	the.seed.number.77	the.seed.number.78	the.seed.number.79	the.seed.number.80	the.seed.number.81	the.seed.number.82	the.seed.number.83	the.seed.number.84	the.seed.number.85	the.seed.number.86	the.seed.number.87	the.seed.number.88	the.seed.number.89	the.seed.number.90	the.seed.number.91	the.seed.number.92	the.seed.number.93	the.seed.number.94	the.seed.number.95	the.seed.number.96	the.seed.number.97	the.seed.number.98	the.seed.number.99	the.seed.number.100
CML45	-2330	-237835	615210	338011	130845	-629556	961318	327472	-904462	877863	-94872	-612620	-190820	108056	92557	-283056	-626005	706740	-329057	6283	-622409	295061	-270265	271070	939035	132323	3032	120274	-536054	744338	875105	-393744	314917	7093	58895	-873182	-658950	-438766	-702142	252254	248915	-392452	650146	-756253	408744	849593	520697	-514722	813843	204683	-639178	802342	-271520	428678	544425	-478683	-457435	-718926	843649	422971	51804	585737	924612	-280506	434624	560014	676369	28605	-201196	502442	944956	925591	306536	763382	93014	661889	-487297	-780378	600047	-273701	220894	531465	-820938	690416	-367206	715754	-127229	389966	-742259	303717	-222309	66452	-824355	706377	-86947	914441	-912956	333674	-745903	-760317
CML5	683418	695016	150820	919971	-373634	29059	-396531	167976	118970	697354	146176	-239503	188450	722558	937275	580984	-552992	-203245	-571214	294017	-636690	-76965	159790	990612	-420630	1805	-602840	-287219	856460	-664272	-64888	199718	-53762	-90770	-677421	274946	111852	-335457	814923	-507840	-781880	-685272	-129601	515072	-994847	-705351	913064	-241040	748086	-914109	-877251	69576	837941	-707110	336121	547074	513745	140317	-250606	432426	-768450	-325007	770908	-622618	322964	273542	786812	-418967	220006	588229	-277950	-138339	114614	864211	-474957	262491	-327777	-607428	537892	749131	-126111	728003	-88503	819339	-176644	-394702	851098	-933662	789293	528709	-150976	394258	-40254	-397520	-659575	-719651	170923	-69537	-810391	-283280
CML61	-264341	-383433	-672008	-347698	-206590	870436	-455029	-808368	-650538	278057	90095	-408052	-388709	171311	660266	814183	-588671	908095	-451624	-997893	-949032	605340	678255	684166	-523769	286386	992859	-542847	-507905	-127209	-429317	906235	659341	650973	-715648	633694	979432	-556562	674931	-51597	-419220	-943238	-209117	-626847	505301	-783965	-117622	-485949	25601	-289869	-204599	-66664	-865401	-64078	347418	-291902	577253	-804886	727604	-524201	190451	314719	736271	-785295	732000	-298485	48741	-497527	396251	596292	-480359	361168	-961355	767926	317693	359990	979972	834832	-960203	568185	436627	-152065	-895003	554385	901508	-396024	252049	65415	546012	-702058	42762	-423181	-342080	304144	475461	69797	705532	-378983	-874182	-145481
CML69	41550	-963006	778583	-43790	925457	375499	-576050	-309877	627308	449165	-380071	914484	-236282	-599435	-667518	-208320	-559411	937398	-380105	90884	674672	-163556	248065	626042	703560	956747	99377	271953	-84355	-128596	437032	-975998	727541	-265709	331811	448411	-345906	431478	742036	-386569	-217742	266335	181079	-384714	967577	160547	-381457	-158619	279838	408531	-875772	899714	-974	245176	700547	353004	-990364	226572	-426938	102546	419007	464234	-797718	488450	71734	708189	-165940	849919	-926377	199833	-286348	675729	332708	-33429	-800546	-214487	-539095	-6585	-284346	360396	-681087	813153	-84209	-824994	-41466	-604490	-184572	898559	-552214	494358	371819	-364049	-419327	-453643	-727106	437520	692177	-87807	527136	-850732
I29	-481344	-720557	-489370	-570470	-410064	624341	-482070	359974	90872	729219	-196	-717425	-692639	-980053	743476	422176	-773109	-175390	680381	-196785	204375	599326	703593	671424	-338167	545431	-682572	-440505	47424	-243808	113645	286918	-22045	991549	-292934	944344	-945784	-538427	-669371	306578	100994	-67256	518698	-349728	469265	-564281	205159	-879921	190203	321768	-794697	-784322	-567765	-241274	214012	323194	-207733	-84369	-155674	76460	-330007	-118559	-418429	489117	-639064	744811	508195	-70605	-302398	-422324	-977214	-201517	110852	-100755	875606	119416	74233	-418848	674527	409473	344196	586093	216449	122772	-743433	-388330	-816443	-733879	753906	-259445	-599216	-815401	-904991	606201	263552	512306	95801	369571	-433487	-239514
IA2132	-409905	918759	-303477	-342726	-165481	595542	94921	-840235	-482358	-704198	-82075	-472160	58288	349042	-924226	431836	-482720	885729	-506285	150981	-276158	-418390	-313261	-537673	-901629	157325	58035	870994	380136	123967	544516	-803739	-627416	380094	325552	353560	603205	-558538	-659512	658916	439435	203259	-261594	780511	907005	730349	-419761	-714568	885461	-531059	-727418	-696447	-989284	337614	993492	644322	35588	93616	451750	-886896	-837535	-955584	63907	-619583	-338571	122063	-352959	610131	-484233	-549559	-358867	165438	-876264	-358758	-880216	388042	-375918	-845718	116247	-99697	-415363	-494127	631938	116335	537174	-281753	-621961	189086	942388	-879646	-788608	980920	-369366	79176	278718	64091	613817	-369075	42300	-921578
IA5125	551112	435561	-767708	542511	-124455	-444859	-573053	840935	549358	286753	-206373	-845124	65148	-47881	-279215	367676	-578904	534987	482847	-871470	-558542	149786	268730	993073	-236614	318342	-625876	-784268	531690	-449133	480799	-329726	910028	330790	-573303	201053	205030	-803159	-660173	-260209	-404294	-82811	-71738	-668413	662099	744195	-713636	-623051	-863239	-656940	852124	-854188	-193327	-47991	-179913	709128	185264	585351	577919	-31187	862146	956629	677287	930383	-799357	152230	323332	-601841	-521085	-828245	-123221	229893	972309	708659	-486212	73012	685699	79614	-39024	-553235	-198407	-658996	-66877	481321	-745060	693428	633547	817599	-326915	196174	188341	-490585	-329048	-828498	-236364	-943359	983934	-990666	640233	-212490
IL101	-989946	512796	521606	92557	-283056	-626005	706740	-329057	6283	-622409	295061	-270265	271070	939035	132323	3032	120274	-536054	744338	875105	-393744	314917	7093	58895	-873182	-658950	-438766	-702142	252254	248915	-392452	650146	-756253	408744	849593	520697	-514722	813843	204683	-639178	802342	-271520	428678	544425	-478683	-457435	-718926	843649	422971	51804	585737	924612	-280506	434624	560014	676369	28605	-201196	502442	944956	925591	306536	763382	93014	661889	-487297	-780378	600047	-273701	220894	531465	-820938	690416	-367206	715754	-127229	389966	-742259	303717	-222309	66452	-824355	706377	-86947	914441	-912956	333674	-745903	-760317	297359	-20173	-731008	-133288	-670235	894206	585210	431933	438272	-357719	-691770
IL14H	391343	345051	-182954	937275	580984	-552992	-203245	-571214	294017	-636690	-76965	159790	990612	-420630	1805	-602840	-287219	856460	-664272	-64888	199718	-53762	-90770	-677421	274946	111852	-335457	814923	-507840	-781880	-685272	-129601	515072	-994847	-705351	913064	-241040	748086	-914109	-877251	69576	837941	-707110	336121	547074	513745	140317	-250606	432426	-768450	-325007	770908	-622618	322964	273542	786812	-418967	220006	588229	-277950	-138339	114614	864211	-474957	262491	-327777	-607428	537892	749131	-126111	728003	-88503	819339	-176644	-394702	851098	-933662	789293	528709	-150976	394258	-40254	-397520	-659575	-719651	170923	-69537	-810391	-283280	342382	-252273	895525	-521711	390849	-174282	78310	-804617	841091	-599727	-564173
IL677A	505606	-399935	381983	660266	814183	-588671	908095	-451624	-997893	-949032	605340	678255	684166	-523769	286386	992859	-542847	-507905	-127209	-429317	906235	659341	650973	-715648	633694	979432	-556562	674931	-51597	-419220	-943238	-209117	-626847	505301	-783965	-117622	-485949	25601	-289869	-204599	-66664	-865401	-64078	347418	-291902	577253	-804886	727604	-524201	190451	314719	736271	-785295	732000	-298485	48741	-497527	396251	596292	-480359	361168	-961355	767926	317693	359990	979972	834832	-960203	568185	436627	-152065	-895003	554385	901508	-396024	252049	65415	546012	-702058	42762	-423181	-342080	304144	475461	69797	705532	-378983	-874182	-145481	-92210	-547005	875398	-719583	772680	-419053	346079	177921	-391718	-349439	164626
KI11	-135440	-481078	-373669	-667518	-208320	-559411	937398	-380105	90884	674672	-163556	248065	626042	703560	956747	99377	271953	-84355	-128596	437032	-975998	727541	-265709	331811	448411	-345906	431478	742036	-386569	-217742	266335	181079	-384714	967577	160547	-381457	-158619	279838	408531	-875772	899714	-974	245176	700547	353004	-990364	226572	-426938	102546	419007	464234	-797718	488450	71734	708189	-165940	849919	-926377	199833	-286348	675729	332708	-33429	-800546	-214487	-539095	-6585	-284346	360396	-681087	813153	-84209	-824994	-41466	-604490	-184572	898559	-552214	494358	371819	-364049	-419327	-453643	-727106	437520	692177	-87807	527136	-850732	342188	-234713	403760	-284347	913426	-217617	-607419	-938310	-47086	68578	71341
KI2021	-952399	-599869	-337498	743476	422176	-773109	-175390	680381	-196785	204375	599326	703593	671424	-338167	545431	-682572	-440505	47424	-243808	113645	286918	-22045	991549	-292934	944344	-945784	-538427	-669371	306578	100994	-67256	518698	-349728	469265	-564281	205159	-879921	190203	321768	-794697	-784322	-567765	-241274	214012	323194	-207733	-84369	-155674	76460	-330007	-118559	-418429	489117	-639064	744811	508195	-70605	-302398	-422324	-977214	-201517	110852	-100755	875606	119416	74233	-418848	674527	409473	344196	586093	216449	122772	-743433	-388330	-816443	-733879	753906	-259445	-599216	-815401	-904991	606201	263552	512306	95801	369571	-433487	-239514	-720927	552669	-836620	641549	-677533	834260	786738	-992898	-15473	-431666	586251
KI43	-881024	-102475	45932	-924226	431836	-482720	885729	-506285	150981	-276158	-418390	-313261	-537673	-901629	157325	58035	870994	380136	123967	544516	-803739	-627416	380094	325552	353560	603205	-558538	-659512	658916	439435	203259	-261594	780511	907005	730349	-419761	-714568	885461	-531059	-727418	-696447	-989284	337614	993492	644322	35588	93616	451750	-886896	-837535	-955584	63907	-619583	-338571	122063	-352959	610131	-484233	-549559	-358867	165438	-876264	-358758	-880216	388042	-375918	-845718	116247	-99697	-415363	-494127	631938	116335	537174	-281753	-621961	189086	942388	-879646	-788608	980920	-369366	79176	278718	64091	613817	-369075	42300	-921578	-876213	-186222	544495	205895	-135124	-535489	455838	925857	494175	142968	977112
M162W	681427	-617637	-159833	-279215	367676	-578904	534987	482847	-871470	-558542	149786	268730	993073	-236614	318342	-625876	-784268	531690	-449133	480799	-329726	910028	330790	-573303	201053	205030	-803159	-660173	-260209	-404294	-82811	-71738	-668413	662099	744195	-713636	-623051	-863239	-656940	852124	-854188	-193327	-47991	-179913	709128	185264	585351	577919	-31187	862146	956629	677287	930383	-799357	152230	323332	-601841	-521085	-828245	-123221	229893	972309	708659	-486212	73012	685699	79614	-39024	-553235	-198407	-658996	-66877	481321	-745060	693428	633547	817599	-326915	196174	188341	-490585	-329048	-828498	-236364	-943359	983934	-990666	640233	-212490	-566314	34308	624621	-433556	957939	977941	-753149	-606519	62766	278197	-349686
MEF156-55-2	-272989	297765	280636	132323	3032	120274	-536054	744338	875105	-393744	314917	7093	58895	-873182	-658950	-438766	-702142	252254	248915	-392452	650146	-756253	408744	849593	520697	-514722	813843	204683	-639178	802342	-271520	428678	544425	-478683	-457435	-718926	843649	422971	51804	585737	924612	-280506	434624	560014	676369	28605	-201196	502442	944956	925591	306536	763382	93014	661889	-487297	-780378	600047	-273701	220894	531465	-820938	690416	-367206	715754	-127229	389966	-742259	303717	-222309	66452	-824355	706377	-86947	914441	-912956	333674	-745903	-760317	297359	-20173	-731008	-133288	-670235	894206	585210	431933	438272	-357719	-691770	-10072	-87327	-905184	654054	-314558	-732811	711718	278860	892191	554168	-193829
N6	917233	1853	-91024	1805	-602840	-287219	856460	-664272	-64888	199718	-53762	-90770	-677421	274946	111852	-335457	814923	-507840	-781880	-685272	-129601	515072	-994847	-705351	913064	-241040	748086	-914109	-877251	69576	837941	-707110	336121	547074	513745	140317	-250606	432426	-768450	-325007	770908	-622618	322964	273542	786812	-418967	220006	588229	-277950	-138339	114614	864211	-474957	262491	-327777	-607428	537892	749131	-126111	728003	-88503	819339	-176644	-394702	851098	-933662	789293	528709	-150976	394258	-40254	-397520	-659575	-719651	170923	-69537	-810391	-283280	342382	-252273	895525	-521711	390849	-174282	78310	-804617	841091	-599727	-564173	866009	-858661	345749	7897	-305811	-93812	939848	-528751	929491	206939	-590715
NC304	96189	329555	744135	286386	992859	-542847	-507905	-127209	-429317	906235	659341	650973	-715648	633694	979432	-556562	674931	-51597	-419220	-943238	-209117	-626847	505301	-783965	-117622	-485949	25601	-289869	-204599	-66664	-865401	-64078	347418	-291902	577253	-804886	727604	-524201	190451	314719	736271	-785295	732000	-298485	48741	-497527	396251	596292	-480359	361168	-961355	767926	317693	359990	979972	834832	-960203	568185	436627	-152065	-895003	554385	901508	-396024	252049	65415	546012	-702058	42762	-423181	-342080	304144	475461	69797	705532	-378983	-874182	-145481	-92210	-547005	875398	-719583	772680	-419053	346079	177921	-391718	-349439	164626	797267	384527	-6152	-12249	561685	314996	481562	-44913	897625	-151944	-452252
P39	951367	-629907	406830	956747	99377	271953	-84355	-128596	437032	-975998	727541	-265709	331811	448411	-345906	431478	742036	-386569	-217742	266335	181079	-384714	967577	160547	-381457	-158619	279838	408531	-875772	899714	-974	245176	700547	353004	-990364	226572	-426938	102546	419007	464234	-797718	488450	71734	708189	-165940	849919	-926377	199833	-286348	675729	332708	-33429	-800546	-214487	-539095	-6585	-284346	360396	-681087	813153	-84209	-824994	-41466	-604490	-184572	898559	-552214	494358	371819	-364049	-419327	-453643	-727106	437520	692177	-87807	527136	-850732	342188	-234713	403760	-284347	913426	-217617	-607419	-938310	-47086	68578	71341	225582	-880439	-412748	-153513	866905	-827207	966228	886448	-285041	176454	197540
R109B	-25108	-515594	-190381	545431	-682572	-440505	47424	-243808	113645	286918	-22045	991549	-292934	944344	-945784	-538427	-669371	306578	100994	-67256	518698	-349728	469265	-564281	205159	-879921	190203	321768	-794697	-784322	-567765	-241274	214012	323194	-207733	-84369	-155674	76460	-330007	-118559	-418429	489117	-639064	744811	508195	-70605	-302398	-422324	-977214	-201517	110852	-100755	875606	119416	74233	-418848	674527	409473	344196	586093	216449	122772	-743433	-388330	-816443	-733879	753906	-259445	-599216	-815401	-904991	606201	263552	512306	95801	369571	-433487	-239514	-720927	552669	-836620	641549	-677533	834260	786738	-992898	-15473	-431666	586251	-466715	923275	657904	-364498	-867159	-266972	-520896	241360	-3297	-31427	118928
TZI10	377539	131480	-360623	157325	58035	870994	380136	123967	544516	-803739	-627416	380094	325552	353560	603205	-558538	-659512	658916	439435	203259	-261594	780511	907005	730349	-419761	-714568	885461	-531059	-727418	-696447	-989284	337614	993492	644322	35588	93616	451750	-886896	-837535	-955584	63907	-619583	-338571	122063	-352959	610131	-484233	-549559	-358867	165438	-876264	-358758	-880216	388042	-375918	-845718	116247	-99697	-415363	-494127	631938	116335	537174	-281753	-621961	189086	942388	-879646	-788608	980920	-369366	79176	278718	64091	613817	-369075	42300	-921578	-876213	-186222	544495	205895	-135124	-535489	455838	925857	494175	142968	977112	125241	-396319	200156	-121671	894731	132558	273180	35369	835722	-842716	669827
TZI8	-92672	933834	83446	318342	-625876	-784268	531690	-449133	480799	-329726	910028	330790	-573303	201053	205030	-803159	-660173	-260209	-404294	-82811	-71738	-668413	662099	744195	-713636	-623051	-863239	-656940	852124	-854188	-193327	-47991	-179913	709128	185264	585351	577919	-31187	862146	956629	677287	930383	-799357	152230	323332	-601841	-521085	-828245	-123221	229893	972309	708659	-486212	73012	685699	79614	-39024	-553235	-198407	-658996	-66877	481321	-745060	693428	633547	817599	-326915	196174	188341	-490585	-329048	-828498	-236364	-943359	983934	-990666	640233	-212490	-566314	34308	624621	-433556	957939	977941	-753149	-606519	62766	278197	-349686	491181	-154972	769346	188570	522160	-891513	524957	-434131	-388750	923094	-878035
VA26	657867	-798403	-604742	-658950	-438766	-702142	252254	248915	-392452	650146	-756253	408744	849593	520697	-514722	813843	204683	-639178	802342	-271520	428678	544425	-478683	-457435	-718926	843649	422971	51804	585737	924612	-280506	434624	560014	676369	28605	-201196	502442	944956	925591	306536	763382	93014	661889	-487297	-780378	600047	-273701	220894	531465	-820938	690416	-367206	715754	-127229	389966	-742259	303717	-222309	66452	-824355	706377	-86947	914441	-912956	333674	-745903	-760317	297359	-20173	-731008	-133288	-670235	894206	585210	431933	438272	-357719	-691770	-10072	-87327	-905184	654054	-314558	-732811	711718	278860	892191	554168	-193829	406272	427319	148073	-8393	646986	817041	445511	949589	888974	-219390	920507
W22R-RSTD	633612	-612263	693337	111852	-335457	814923	-507840	-781880	-685272	-129601	515072	-994847	-705351	913064	-241040	748086	-914109	-877251	69576	837941	-707110	336121	547074	513745	140317	-250606	432426	-768450	-325007	770908	-622618	322964	273542	786812	-418967	220006	588229	-277950	-138339	114614	864211	-474957	262491	-327777	-607428	537892	749131	-126111	728003	-88503	819339	-176644	-394702	851098	-933662	789293	528709	-150976	394258	-40254	-397520	-659575	-719651	170923	-69537	-810391	-283280	342382	-252273	895525	-521711	390849	-174282	78310	-804617	841091	-599727	-564173	866009	-858661	345749	7897	-305811	-93812	939848	-528751	929491	206939	-590715	545293	-171489	665006	136051	-2595	159726	880647	-918747	-202006	964891	-365618
